symbol,price,timestamp
bitcoin,88858.29,2024-11-12 13:59:00.532563
usd-coin,0.999136,2024-11-12 13:59:00.532563
solana,223.40,2024-11-12 13:59:00.853466
bitcoin,88856.82,2024-11-12 13:59:01.336951
ethereum,3370.75,2024-11-12 13:59:01.336951
binance-coin,653.16,2024-11-12 13:59:01.336951
usd-coin,0.999250,2024-11-12 13:59:01.336951
bitcoin,88857.50,2024-11-12 13:59:02.043483
ethereum,3370.81,2024-11-12 13:59:02.043483
solana,223.41,2024-11-12 13:59:02.043483
bitcoin,88857.49,2024-11-12 13:59:02.453867
bitcoin,88858.24,2024-11-12 13:59:02.930505
ethereum,3370.83,2024-11-12 13:59:02.930505
bitcoin,88858.22,2024-11-12 13:59:04.627854
bitcoin,88858.38,2024-11-12 13:59:04.930870
ethereum,3370.75,2024-11-12 13:59:04.930870
bitcoin,88858.41,2024-11-12 13:59:06.289349
ethereum,3370.74,2024-11-12 13:59:06.289349
solana,223.40,2024-11-12 13:59:06.289349
ethereum,3370.72,2024-11-12 13:59:06.967500
solana,223.39,2024-11-12 13:59:06.967500
binance-coin,653.17,2024-11-12 13:59:07.410904
bitcoin,88857.87,2024-11-12 13:59:07.890092
ethereum,3370.68,2024-11-12 13:59:07.890092
solana,223.38,2024-11-12 13:59:08.207878
solana,223.39,2024-11-12 13:59:09.535695
bitcoin,88856.90,2024-11-12 13:59:09.535695
ethereum,3370.71,2024-11-12 13:59:09.969880
solana,223.37,2024-11-12 13:59:09.969880
bitcoin,88863.14,2024-11-12 13:59:10.450613
ethereum,3370.94,2024-11-12 13:59:10.450613
binance-coin,653.22,2024-11-12 13:59:10.450613
solana,223.39,2024-11-12 13:59:10.450613
usd-coin,0.999276,2024-11-12 13:59:10.450613
bitcoin,88863.03,2024-11-12 13:59:10.682922
binance-coin,653.21,2024-11-12 13:59:11.097133
solana,223.38,2024-11-12 13:59:11.097133
ethereum,3370.92,2024-11-12 13:59:13.968814
ethereum,3370.90,2024-11-12 13:59:16.811267
bitcoin,88863.02,2024-11-12 13:59:17.342893
bitcoin,88864.34,2024-11-12 13:59:18.934227
solana,223.39,2024-11-12 13:59:18.934227
bitcoin,88864.42,2024-11-12 13:59:19.769955
bitcoin,88864.57,2024-11-12 13:59:20.219060
ethereum,3370.96,2024-11-12 13:59:20.219060
binance-coin,653.22,2024-11-12 13:59:20.219060
solana,223.40,2024-11-12 13:59:20.219060
ethereum,3371.01,2024-11-12 13:59:20.964813
bitcoin,88864.77,2024-11-12 13:59:21.779401
bitcoin,88864.81,2024-11-12 13:59:23.749580
bitcoin,88864.93,2024-11-12 13:59:23.828585
bitcoin,88864.75,2024-11-12 13:59:25.068209
ethereum,3371.00,2024-11-12 13:59:25.068209
bitcoin,88864.70,2024-11-12 13:59:25.469165
bitcoin,88864.71,2024-11-12 13:59:25.967728
solana,223.41,2024-11-12 13:59:25.967728
bitcoin,88864.79,2024-11-12 13:59:26.288347
ethereum,3370.99,2024-11-12 13:59:26.692772
binance-coin,653.23,2024-11-12 13:59:27.921441
ethereum,3371.00,2024-11-12 13:59:29.996209
bitcoin,88864.80,2024-11-12 13:59:30.448688
ethereum,3370.99,2024-11-12 13:59:30.448688
bitcoin,88866.64,2024-11-12 13:59:31.229763
usd-coin,0.999321,2024-11-12 13:59:31.229763
bitcoin,88866.44,2024-11-12 13:59:32.048397
bitcoin,88866.59,2024-11-12 13:59:32.531452
ethereum,3370.97,2024-11-12 13:59:35.732921
bitcoin,88866.50,2024-11-12 13:59:36.213429
bitcoin,88867.09,2024-11-12 13:59:36.537144
bitcoin,88866.12,2024-11-12 13:59:37.012933
ethereum,3370.93,2024-11-12 13:59:37.012933
binance-coin,653.22,2024-11-12 13:59:37.012933
bitcoin,88866.24,2024-11-12 13:59:37.814548
ethereum,3369.85,2024-11-12 13:59:37.814548
usd-coin,0.999319,2024-11-12 13:59:38.135556
usd-coin,0.999320,2024-11-12 13:59:39.783981
bitcoin,88863.86,2024-11-12 13:59:40.296157
ethereum,3369.77,2024-11-12 13:59:40.296157
binance-coin,653.19,2024-11-12 13:59:40.296157
solana,223.40,2024-11-12 13:59:40.296157
usd-coin,0.999305,2024-11-12 13:59:40.296157
ethereum,3369.80,2024-11-12 13:59:42.192784
bitcoin,88863.93,2024-11-12 13:59:42.225232
bitcoin,88863.90,2024-11-12 13:59:43.023397
ethereum,3369.79,2024-11-12 13:59:43.023397
solana,223.41,2024-11-12 13:59:43.843472
usd-coin,0.999306,2024-11-12 13:59:43.843472
bitcoin,88863.40,2024-11-12 13:59:45.170873
ethereum,3369.72,2024-11-12 13:59:45.170873
bitcoin,88857.00,2024-11-12 13:59:45.481105
binance-coin,653.18,2024-11-12 13:59:46.675189
bitcoin,88856.99,2024-11-12 13:59:47.088087
ethereum,3369.71,2024-11-12 13:59:47.481335
bitcoin,88857.00,2024-11-12 13:59:48.331950
bitcoin,88857.01,2024-11-12 13:59:49.172109
solana,223.40,2024-11-12 13:59:49.172109
binance-coin,653.17,2024-11-12 13:59:49.650897
bitcoin,88863.18,2024-11-12 13:59:49.974970
binance-coin,653.16,2024-11-12 13:59:49.974970
bitcoin,88863.09,2024-11-12 13:59:50.453440
ethereum,3369.70,2024-11-12 13:59:50.453440
binance-coin,653.15,2024-11-12 13:59:50.453440
solana,223.41,2024-11-12 13:59:50.453440
usd-coin,0.999305,2024-11-12 13:59:50.453440
binance-coin,653.00,2024-11-12 13:59:50.769569
ethereum,3369.68,2024-11-12 13:59:52.414801
ethereum,3369.70,2024-11-12 13:59:53.690674
ethereum,3369.66,2024-11-12 13:59:53.968894
bitcoin,88863.78,2024-11-12 13:59:54.448363
binance-coin,652.99,2024-11-12 13:59:54.448363
ethereum,3369.65,2024-11-12 13:59:54.767215
ethereum,3369.61,2024-11-12 13:59:56.050035
bitcoin,88863.74,2024-11-12 13:59:56.850582
ethereum,3369.60,2024-11-12 13:59:57.692732
solana,223.61,2024-11-12 13:59:57.692732
bitcoin,88863.40,2024-11-12 13:59:58.134046
ethereum,3369.56,2024-11-12 13:59:58.134046
bitcoin,88863.31,2024-11-12 14:00:00.133130
ethereum,3369.55,2024-11-12 14:00:00.133130
ethereum,3369.56,2024-11-12 14:00:00.533722
bitcoin,88863.15,2024-11-12 14:00:00.934963
bitcoin,88861.84,2024-11-12 14:00:01.493108
